jugador;equipo;partido_id;minuto;segundo;x;y;tipo_evento
Mohammad Ibrahim Al Sahlawi;Saudi Arabia;7525;0;0;61;40;Pass
Abdullah Ibrahim Otayf;Saudi Arabia;7525;0;1;35;39;Ball Receipt*
Abdullah Ibrahim Otayf;Saudi Arabia;7525;0;1;35;39;Carry
Abdullah Ibrahim Otayf;Saudi Arabia;7525;0;2;36;40;Pass
Yasir Gharsan Al Shahrani;Saudi Arabia;7525;0;5;91;20;Ball Receipt*
Yasir Gharsan Al Shahrani;Saudi Arabia;7525;0;5;83;13;Duel
Ilya Kutepov;Russia;7525;0;5;38;68;Pass
Salman Mohammed Al Faraj;Saudi Arabia;7525;0;7;76;6;Pass
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;8;91;6;Ball Receipt*
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;8;91;6;Carry
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;10;91;8;Pass
Salman Mohammed Al Faraj;Saudi Arabia;7525;0;11;104;3;Ball Receipt*
Salman Mohammed Al Faraj;Saudi Arabia;7525;0;11;104;3;Carry
Mario Figueira Fernandes;Russia;7525;0;11;22;73;Pressure
Salman Mohammed Al Faraj;Saudi Arabia;7525;0;14;107;20;Pass
Yasir Gharsan Al Shahrani;Saudi Arabia;7525;0;15;105;16;Ball Receipt*
Yasir Gharsan Al Shahrani;Saudi Arabia;7525;0;15;105;16;Carry
Aleksandr Samedov;Russia;7525;0;15;15;70;Pressure
Yasir Gharsan Al Shahrani;Saudi Arabia;7525;0;15;106;15;Pass
Yehya Sulaiman Ali Al-Shehri;Saudi Arabia;7525;0;16;95;10;Ball Receipt*
Yehya Sulaiman Ali Al-Shehri;Saudi Arabia;7525;0;16;95;10;Carry
Alan Dzagoev;Russia;7525;0;16;22;70;Pressure
Yehya Sulaiman Ali Al-Shehri;Saudi Arabia;7525;0;17;94;6;Pass
Abdullah Ibrahim Otayf;Saudi Arabia;7525;0;18;88;13;Ball Receipt*
Abdullah Ibrahim Otayf;Saudi Arabia;7525;0;18;88;13;Carry
Abdullah Ibrahim Otayf;Saudi Arabia;7525;0;18;88;16;Pass
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;19;84;3;Ball Receipt*
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;19;84;3;Carry
Aleksandr Samedov;Russia;7525;0;20;28;76;Pressure
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;21;84;2;Dispossessed
Aleksandr Samedov;Russia;7525;0;21;37;79;Duel
Yasir Gharsan Al Shahrani;Saudi Arabia;7525;0;36;74;1;Pass
Mario Figueira Fernandes;Russia;7525;0;37;32;76;Pressure
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;38;88;3;Ball Receipt*
Salem Mohammed Al Dawsari;Saudi Arabia;7525;0;38;88;3;Carry
