Nombre;Altura;Edad (2018);Valor de mercado;Partidos jugados;Goles;Asistencias;Amarillas;Rojas;Nacionalidad;Club ;Posición
Mohammad Ibrahim Al Sahlawi;1,79;31;1,000,000;25;16;2;2;0;Arabia Saudita;Al-Nassr;Delantero
Abdullah Ibrahim Otayf;1,77;25;800;22;0;2;3;0;Arabia Saudita;Al-Hilal;Mediocentro
Yasir Gharsan Al Shahrani;1,7;26;1,200,000;27;1;3;4;0;Arabia Saudita;Al-Hilal;Lateral
Ilya Kutepov;1,92;25;3,000,000;28;0;0;5;0;Rusia;Spartak Moscú;Defensa
Salman Mohammed Al Faraj;1,8;29;1,500,000;26;2;4;4;0;Arabia Saudita;Al-Hilal;Mediocentro
Salem Mohammed Al Dawsari;1,73;26;2,000,000;28;7;5;3;0;Arabia Saudita;Al-Hilal;Extremo
Mario Figueira Fernandes;1,89;27;18,000,000;35;2;6;6;0;Rusia/Brasil;CSKA Moscú;Lateral
Aleksandr Samedov;1,8;33;2,000,000;30;5;7;4;0;Rusia;Spartak Moscú;Extremo
Yehya Sulaiman Ali Al-Shehri;1,66;30;1,000,000;24;3;4;2;0;Arabia Saudita;Al-Nassr;Mediocentro ofensivo
Alan Dzagoev;1,79;28;20,000,000;27;5;6;5;0;Rusia;CSKA Moscú;Mediocentro
Taisir Jabir Al Jassim;1,74;34;1,000,000;23;2;3;3;0;Arabia Saudita;Al-Ahli;Mediocentro
Sergei Ignashevich;1,85;38;500;30;1;0;6;1;Rusia;CSKA Moscú;Defensa
Yury Gazinskiy;1,84;28;4,000,000;29;2;3;4;0;Rusia;Krasnodar;Mediocentro
Mohammed Al Burayk;1,74;25;1,000,000;26;1;3;3;0;Arabia Saudita;Al-Hilal;Lateral
Aleksandr Golovin;1,8;22;15,000,000;37;7;6;6;0;Rusia;CSKA Moscú;Mediocentro
Abdullah Ibrahim Al Maiouf;1,87;31;800;28;0;0;2;0;Arabia Saudita;Al-Hilal;Portero
Omar Ibrahim Othman Hawsawi;1,82;32;900;27;1;0;4;0;Arabia Saudita;Al-Nassr;Defensa
Igor Akinfeev;1,87;32;8,000,000;45;0;0;2;0;Rusia;CSKA Moscú;Portero
Roman Zobnin;1,82;24;6,000,000;30;2;4;4;0;Rusia;Spartak Moscú;Mediocentro
Yuri Zhirkov;1,8;34;1,000,000;25;1;3;3;0;Rusia;Zenit;Lateral
Fyodor Smolov;1,87;28;12,000,000;30;14;4;4;0;Rusia;Krasnodar;Delantero
Osama Abdulrezag Hawsawi;1,82;34;900;26;1;0;3;0;Arabia Saudita;Al-Ahli;Defensa
Denis Cheryshev;1,79;27;6,000,000;22;4;3;2;0;Rusia;Villarreal;Extremo
Fahad Al Muwallad;1,67;23;1,200,000;24;5;4;2;0;Arabia Saudita;Al-Ittihad;Extremo
Daler Kuzyaev;1,82;25;3,000,000;28;3;5;4;0;Rusia;Zenit;Mediocentro
Artem Dzyuba;1,96;29;10,000,000;30;13;6;5;0;Rusia;Arsenal Tula;Delantero
Hattan Babhir;1,7;26;800;20;2;2;2;0;Arabia Saudita;Al-Ahli;Extremo
Mohanad Aseri;1,8;31;1,000,000;22;4;2;3;0;Arabia Saudita;Al-Ahli;Delantero
John Obi Mikel;1,79;31;4,000,000;25;1;2;3;0;Nigeria;Tianjin Teda;Mediocentro
Mario Mandzukic;1,9;32;18,000,000;42;10;5;4;0;Croacia;Juventus;Delantero
William Troost-Ekong;1,91;24;2,000,000;28;2;1;4;0;Nigeria;Bursaspor;Defensa
Odion Ighalo;1,88;29;8,000,000;26;12;3;3;0;Nigeria;Changchun Yatai;Delantero
Dejan Lovren;1,88;28;20,000,000;36;2;1;6;1;Croacia;Liverpool;Defensa
Victor Moses;1,77;27;18,000,000;38;8;7;5;0;Nigeria;Chelsea;Extremo
Ante Rebic;1,85;24;10,000,000;32;9;4;4;0;Croacia;Eintracht Frankfurt;Extremo
Luka Modric;1,72;32;25,000,000;43;2;8;5;0;Croacia;Real Madrid;Mediocentro
Ivan Strinic;1,86;30;5,000,000;28;0;2;3;0;Croacia;Sampdoria;Lateral
Brian Idowu;1,85;26;1,500,000;25;1;1;3;0;Nigeria;Amkar Perm;Lateral
Wilfred Ndidi;1,83;21;25,000,000;38;1;2;7;0;Nigeria;Leicester City;Mediocentro
Ivan Rakitic;1,84;30;40,000,000;42;4;6;6;0;Croacia;FC Barcelona;Mediocentro
Domagoj Vida;1,84;29;6,000,000;35;2;1;7;1;Croacia;Besiktas JK;Defensa
Sime Vrsaljko;1,83;26;20,000,000;32;0;3;5;0;Croacia;Atlético Madrid;Lateral
Andrej Kramaric;1,77;26;15,000,000;34;13;5;3;0;Croacia;Hoffenheim;Delantero
Abdullahi Shehu;1,82;25;1,000,000;28;1;2;4;0;Nigeria;Bursaspor;Defensa
Francis Uzoho;1,96;19;500;15;0;0;1;0;Nigeria;Deportivo La Coruña;Portero
Alex Iwobi;1,8;22;8,000,000;30;3;5;3;0;Nigeria;Arsenal;Extremo
Ivan Perisic;1,86;29;35,000,000;40;11;9;5;0;Croacia;Inter de Milán;Extremo
Leon Balogun;1,9;29;1,500,000;25;1;0;4;0;Nigeria;Mainz 05;Defensa
Oghenekaro Etebo;1,76;22;2,500,000;28;5;4;3;0;Nigeria;Las Palmas;Mediocentro
Danijel Subasic;1,91;33;3,000,000;40;0;0;2;0;Croacia;AS Mónaco;Portero
Marcelo Brozovic;1,81;25;25,000,000;36;4;6;4;0;Croacia;Inter de Milán;Mediocentro
Ahmed Musa;1,71;25;6,000,000;28;7;4;2;0;Nigeria;CSKA Moscú;Extremo
Kelechi Iheanacho;1,85;21;15,000,000;32;8;3;3;0;Nigeria;Leicester City;Delantero
Mateo Kovacic;1,77;24;30,000,000;32;2;4;3;0;Croacia;Real Madrid;Mediocentro
Marko Pjaca;1,86;23;10,000,000;20;3;2;2;0;Croacia;Schalke 04 (cedido);Extremo
Simeon Nwankwo;1,98;26;2,000,000;29;9;2;3;0;Nigeria;Crotone;Delantero
Andrew Nabbout;1,82;25;1,000,000;24;5;3;2;0;Australia;Urawa Red Diamonds;Delantero
Trent Sainsbury;1,84;26;1,500,000;25;1;0;3;0;Australia;Grasshoppers;Defensa
Benjamin Pavard;1,86;22;15,000,000;36;2;4;4;0;Francia;Stuttgart;Defensa
Aaron Mooy;1,73;27;10,000,000;36;4;6;5;0;Australia;Huddersfield;Mediocentro
Corentin Tolisso;1,81;23;40,000,000;34;6;4;4;0;Francia;Bayern Múnich;Mediocentro
